V_in,Freq,V_out,Gain,F (log),Gain (dB),,,,,
4,100,7.52,1.88,2,5.483156985,,,R,10,kHz
4,150,7.44,1.86,2.176091259,5.390258884,,,C,0.022,microF
4,200,7.52,1.88,2.301029996,5.483156985,,,cutoff,723,Hz
4,250,7.6,1.9,2.397940009,5.575072019,,,,,
4,300,7.68,1.92,2.477121255,5.666024574,,,,,
4,350,7.6,1.9,2.544068044,5.575072019,,,,,
4,400,7.6,1.9,2.602059991,5.575072019,,,,,
4,450,7.6,1.9,2.653212514,5.575072019,,,,,
4,500,7.6,1.9,2.698970004,5.575072019,,,,,
4,550,7.6,1.9,2.740362689,5.575072019,,,,,
4,600,7.6,1.9,2.77815125,5.575072019,,,,,
4,650,7.44,1.86,2.812913357,5.390258884,,,,,
4,700,7.44,1.86,2.84509804,5.390258884,,,,,
4,710,7.44,1.86,2.851258349,5.390258884,,,,,
4,720,7.44,1.86,2.857332496,5.390258884,,,,,
4,730,7.28,1.82,2.86332286,5.20142776,,,,,
4,740,7.28,1.82,2.86923172,5.20142776,,,,,
4,750,7.28,1.82,2.875061263,5.20142776,,,,,
4,770,7.28,1.82,2.886490725,5.20142776,,,,,
4,800,7.28,1.82,2.903089987,5.20142776,,,,,
4,850,7.2,1.8,2.929418926,5.105450102,,,,,
4,900,7.12,1.78,2.954242509,5.008400046,,,,,
4,950,7.04,1.76,2.977723605,4.910253356,,,,,
4,1000,6.96,1.74,3,4.810984966,,,,,
4,1200,6.8,1.7,3.079181246,4.608978428,,,,,
4,1400,6.48,1.62,3.146128036,4.190300291,,,,,
4,1600,6.2,1.55,3.204119983,3.806633963,,,,,
4,1800,6,1.5,3.255272505,3.521825181,,,,,
4,2000,5.84,1.46,3.301029996,3.287057116,,,,,
4,2200,5.68,1.42,3.342422681,3.045766888,,,,,
4,2400,5.52,1.38,3.380211242,2.797581728,,,,,
4,2600,5.36,1.34,3.414973348,2.542095967,,,,,
4,2800,5.28,1.32,3.447158031,2.411478624,,,,,
4,3000,5.2,1.3,3.477121255,2.278867046,,,,,
