V-in,F,V out,gain,f (log),gain (dB)
4,100,0.42,0.105,2,-19.57621402
4,200,0.8,0.2,2.301029996,-13.97940009
4,300,1.14,0.285,2.477121255,-10.9031028
4,400,1.48,0.37,2.602059991,-8.635965519
4,500,1.8,0.45,2.698970004,-6.935749724
4,600,2.08,0.52,2.77815125,-5.679933127
4,650,2.2,0.55,2.812913357,-5.19274621
4,670,2.24,0.56,2.826074803,-5.03623946
4,690,2.28,0.57,2.838849091,-4.882502887
4,700,2.32,0.58,2.84509804,-4.731440129
4,710,2.4,0.6,2.851258349,-4.436974992
4,720,2.36,0.59,2.857332496,-4.582959767
4,730,2.44,0.61,2.86332286,-4.2934033
4,740,2.48,0.62,2.86923172,-4.15216621
4,750,2.48,0.62,2.875061263,-4.15216621
4,770,2.48,0.62,2.886490725,-4.15216621
4,800,2.56,0.64,2.903089987,-3.87640052
4,850,2.64,0.66,2.929418926,-3.609121289
4,900,2.8,0.7,2.954242509,-3.0980392
4,950,2.8,0.7,2.977723605,-3.0980392
4,1000,2.96,0.74,3,-2.615365605
4,1200,3.12,0.78,3.079181246,-2.158107946
4,1400,3.28,0.82,3.146128036,-1.723722952
4,1600,3.44,0.86,3.204119983,-1.310030975
4,1800,3.6,0.9,3.255272505,-0.915149811
4,2000,3.68,0.92,3.301029996,-0.724243453
4,2200,3.68,0.92,3.342422681,-0.724243453
4,2400,3.76,0.94,3.380211242,-0.537442928
4,2600,3.76,0.94,3.414973348,-0.537442928
4,2800,3.76,0.94,3.447158031,-0.537442928
4,3000,3.84,0.96,3.477121255,-0.354575339
4,4000,3.92,0.98,3.602059991,-0.175478486
4,5000,3.92,0.98,3.698970004,-0.175478486
4,7000,4,1,3.84509804,0
4,9000,4,1,3.954242509,0
4,10000,4,1,4,0
