V_in,F,V_out,Gain,F_log,Gain_dB
4.16,50,0.284,0.068269231,1.698970004,-23.31549981
4.16,100,0.56,0.134615385,2,-17.41810607
4.16,150,0.86,0.206730769,2.176091259,-13.69189759
4.16,200,1.12,0.269230769,2.301029996,-11.39750616
4.16,250,1.34,0.322115385,2.397940009,-9.839770645
4.16,300,1.58,0.379807692,2.477121255,-8.408724873
4.16,350,1.8,0.432692308,2.544068044,-7.27641651
4.16,400,2,0.480769231,2.602059991,-6.361266699
4.16,450,2.16,0.519230769,2.653212514,-5.69279159
4.16,500,2.28,0.548076923,2.698970004,-5.223169673
4.16,550,2.48,0.596153846,2.740362689,-4.492832996
4.16,600,2.6,0.625,2.77815125,-4.082399653
4.16,650,2.72,0.653846154,2.812913357,-3.690488532
4.16,670,2.76,0.663461538,2.826074803,-3.563684971
4.16,690,2.84,0.682692308,2.838849091,-3.315499812
4.16,700,2.84,0.682692308,2.84509804,-3.315499812
4.16,710,2.88,0.692307692,2.851258349,-3.194016857
4.16,720,2.92,0.701923077,2.857332496,-3.074209584
4.16,730,2.96,0.711538462,2.86332286,-2.956032391
4.16,740,2.96,0.711538462,2.86923172,-2.956032391
4.16,750,2.96,0.711538462,2.875061263,-2.956032391
4.16,770,2.96,0.711538462,2.886490725,-2.956032391
4.16,800,3.04,0.730769231,2.903089987,-2.72439494
4.16,850,3.12,0.75,2.929418926,-2.498774732
4.16,900,3.2,0.769230769,2.954242509,-2.278867046
4.16,950,3.28,0.788461538,2.977723605,-2.064389738
4.16,1000,3.36,0.807692308,3,-1.855081065
4.16,1100,3.44,0.826923077,3.041392685,-1.650697761
4.16,1200,3.52,0.846153846,3.079181246,-1.451013343
4.16,1300,3.6,0.865384615,3.113943352,-1.255816597
4.16,1400,3.68,0.884615385,3.146128036,-1.064910239
4.16,1500,3.76,0.903846154,3.176091259,-0.878109714
4.16,1600,3.76,0.903846154,3.204119983,-0.878109714
4.16,1700,3.76,0.903846154,3.230448921,-0.878109714
4.16,1800,3.76,0.903846154,3.255272505,-0.878109714
4.16,1900,3.84,0.923076923,3.278753601,-0.695242125
4.16,2000,3.92,0.942307692,3.301029996,-0.516145272
4.16,3000,4,0.961538462,3.477121255,-0.340666786
4.16,4000,4,0.961538462,3.602059991,-0.340666786
4.16,5000,4.08,0.980769231,3.698970004,-0.168663351
4.16,10000,4.08,0.980769231,4,-0.168663351
4.16,20000,4.16,1,4.301029996,0
4.16,50000,4.16,1,4.698970004,0
4.16,100000,4.16,1,5,0
