V_in,F,V_out,Gain,F_log,Gain_dB
3.2,100,1.96,0.6125,2,-4.257878139
3.28,200,1.96,0.597560976,2.301029996,-4.472355447
3.36,300,1.96,0.583333333,2.477121255,-4.681664121
3.36,400,1.88,0.55952381,2.602059991,-5.043628563
3.36,500,1.8,0.535714286,2.698970004,-5.421335446
3.52,600,1.72,0.488636364,2.77815125,-6.220284331
3.52,700,1.68,0.477272727,2.84509804,-6.424667635
3.6,800,1.6,0.444444444,2.903089987,-7.043650362
3.68,900,1.52,0.413043478,2.954242509,-7.680084615
3.68,1000,1.4,0.380434783,3,-8.39439566
3.84,1200,1.24,0.322916667,3.079181246,-9.818190784
3.92,1400,1.08,0.275510204,3.146128036,-11.19724623
3.92,1600,0.92,0.234693878,3.204119983,-12.58996479
4,1800,0.76,0.19,3.255272505,-14.42492798
4,2000,0.6,0.15,3.301029996,-16.47817482
4.08,2200,0.46,0.112745098,3.342422681,-18.95804663
4.08,2400,0.312,0.076470588,3.380211242,-22.33011138
4.08,2600,0.208,0.050980392,3.414973348,-25.85193656
4.08,2800,0.13,0.031862745,3.447158031,-29.93433622
4.08,2900,0.116,0.028431373,3.462397998,-30.92404348
4.08,3000,0.13,0.031862745,3.477121255,-29.93433622
4.16,3200,0.2,0.048076923,3.505149978,-26.3612667
4.08,3400,0.284,0.069607843,3.531478917,-23.14683646
4.08,3600,0.372,0.091176471,3.556302501,-20.80234446
4.08,3800,0.456,0.111764706,3.579783597,-19.03390641
4.08,4000,0.544,0.133333333,3.602059991,-17.50122527
4,5000,0.92,0.23,3.698970004,-12.76544328
3.84,7000,1.44,0.375,3.84509804,-8.519374645
3.76,10000,1.92,0.510638298,4,-5.837732324
3.28,20000,2.44,0.743902439,4.301029996,-2.569680347
3.2,30000,2.52,0.7875,4.477121255,-2.074988751
3.12,50000,2.52,0.807692308,4.698970004,-1.855081065
3.12,100000,2.6,0.833333333,5,-1.583624921
