V_in,F,V_out,Gain,F_log,Gain_dB
4.16,100,0.032,0.007692308,2,-42.27886705
4.16,200,0.059,0.014182692,2.301029996,-36.96482638
4.16,300,0.086,0.020673077,2.477121255,-33.69189759
4.16,400,0.114,0.027403846,2.602059991,-31.24376959
4.16,500,0.144,0.034615385,2.698970004,-29.21461677
4.16,600,0.174,0.041826923,2.77815125,-27.57088165
4.16,700,0.2,0.048076923,2.84509804,-26.3612667
4.16,800,0.236,0.056730769,2.903089987,-24.92362655
4.16,900,0.268,0.064423077,2.954242509,-23.81917073
4.16,1000,0.308,0.074038462,3,-22.61085228
4.16,1200,0.384,0.092307692,3.079181246,-20.69524213
4.16,1400,0.48,0.115384615,3.146128036,-18.75704187
4,1600,0.59,0.1475,3.204119983,-16.62415959
4,1800,0.728,0.182,3.255272505,-14.79857224
4,2000,0.94,0.235,3.301029996,-12.57864275
3.84,2200,1.14,0.296875,3.342422681,-10.54852746
3.68,2400,1.42,0.385869565,3.380211242,-8.271189486
3.52,2600,1.64,0.465909091,3.414973348,-6.633976309
3.44,2800,1.72,0.5,3.447158031,-6.020599913
3.44,2900,1.7,0.494186047,3.462397998,-6.122190424
3.44,3000,1.66,0.48255814,3.477121255,-6.329007091
3.6,3200,1.54,0.427777778,3.505149978,-7.375635599
3.84,3400,1.36,0.354166667,3.531478917,-9.01584632
3.8,3600,1.22,0.321052632,3.556302501,-9.868475319
3.84,3800,1.1,0.286458333,3.579783597,-10.85877078
3.84,4000,1,0.260416667,3.602059991,-11.68662449
4,5000,0.64,0.16,3.698970004,-15.91760035
4.24,7000,0.4,0.094339623,3.84509804,-20.50611731
4.24,10000,0.264,0.062264151,4,-24.11523859
4.24,20000,0.122,0.028773585,4.301029996,-30.82012052
4.24,30000,0.082,0.019339623,4.477121255,-34.27104008
4.24,50000,0.052,0.012264151,4.698970004,-38.22725026
4.24,100000,0.028,0.006603774,5,-43.60415651
